sample,site,lat,long,pik,RR1,RR2,RR3,S,Idnotes,micro ,bulked,,,
NSW1156870,NSP22_1_22MJ,-33.4098,150.2284,1,NSP22_1_22MJ,NSP22_1_22MJ,NSP22_1_22MJ,Newnes State Park,5,NSP22_1_22MJ5,,,,
NSW1156921,NSP22_1_22MJ,-33.4098,150.2284,1,NSP22_1_22MJ,NSP22_1_22MJ,NSP22_1_22MJ,Newnes State Park,2,NSP22_1_22MJ2,,,,
NSW1156946,NSP22_1_22MJ,-33.4098,150.2284,1,NSP22_1_22MJ,NSP22_1_22MJ,NSP22_1_22MJ,Newnes State Park,3,NSP22_1_22MJ3,,,,
NSW1156920,NSP22_1_22MJ,-33.4098,150.2284,1,NSP22_1_22MJ,NSP22_1_22MJ,NSP22_1_22MJ,Newnes State Park,3,NSP22_1_22MJ3,,,,
NSW1156886,NSP22_1_22MJ,-33.4098,150.2284,1,NSP22_1_22MJ,NSP22_1_22MJ,NSP22_1_22MJ,Newnes State Park,5,NSP22_1_22MJ5,,,,
NSW1156947,NSP22_1_22MJ,-33.4098,150.2284,1,NSP22_1_22MJ,NSP22_1_22MJ,NSP22_1_22MJ,Newnes State Park,5,NSP22_1_22MJ5,,,,
NSW1156884,NSP22_1_22MJ,-33.4098,150.2284,1,NSP22_1_22MJ,NSP22_1_22MJ,NSP22_1_22MJ,Newnes State Park,6,NSP22_1_22MJ6,,,,
NSW1156915,NSP22_1_22MJ,-33.4098,150.2284,1,NSP22_1_22MJ,NSP22_1_22MJ,NSP22_1_22MJ,Newnes State Park,6,NSP22_1_22MJ6,,,,
NSW1158521,NSP22_1_22MJ,-33.4098,150.2284,1,NSP22_1_22MJ,NSP22_1_22MJ,NSP22_1_22MJ,Newnes State Park,6,NSP22_1_22MJ6,,,,
NSW1158520,NSP22_1_22MJ,-33.4098,150.2284,1,NSP22_1_22MJ,NSP22_1_22MJ,NSP22_1_22MJ,Newnes State Park,6,NSP22_1_22MJ6,,,,
NSW1158522,NSP22_1_22MJ,-33.4098,150.2284,1,NSP22_1_22MJ,NSP22_1_22MJ,NSP22_1_22MJ,Newnes State Park,6,NSP22_1_22MJ6,,,,
NSW1156875,IK8_10_21MJ,-33.5555,150.2782,1,IK8_10_21MJ,IK8_10_21MJ,IK8_10_21MJ,Ikara,1,IK8_10_21MJ1,,,,
NSW1156945,IK8_10_21MJ,-33.5555,150.2782,1,IK8_10_21MJ,IK8_10_21MJ,IK8_10_21MJ,Ikara,1,IK8_10_21MJ1,,,,
NSW1156935,IK8_10_21MJ,-33.5555,150.2782,1,IK8_10_21MJ,IK8_10_21MJ,IK8_10_21MJ,Ikara,1,IK8_10_21MJ1,,,,
NSW1156934,IK8_10_21MJ,-33.5555,150.2782,1,IK8_10_21MJ,IK8_10_21MJ,IK8_10_21MJ,Ikara,1,IK8_10_21MJ1,,,,
NSW1156931,IK8_10_21MJ,-33.5555,150.2782,1,IK8_10_21MJ,IK8_10_21MJ,IK8_10_21MJ,Ikara,1,IK8_10_21MJ1,,,,
NSW1158529,IK8_10_21MJ,-33.5555,150.2782,1,IK8_10_21MJ,IK8_10_21MJ,IK8_10_21MJ,Ikara,1,IK8_10_21MJ1,,,,
NSW1158528,IK8_10_21MJ,-33.5555,150.2782,1,IK8_10_21MJ,IK8_10_21MJ,IK8_10_21MJ,Ikara,1,IK8_10_21MJ1,,,,
NSW1158542,IK8_10_21MJ,-33.5555,150.2782,1,IK8_10_21MJ,IK8_10_21MJ,IK8_10_21MJ,Ikara,2,IK8_10_21MJ2,,,,
NSW1156932,IK24_1_22MJ,-33.5555,150.2782,1,IK24_1_22MJ,IK24_1_22MJ,IK24_1_22MJ,Ikara,1,IK24_1_22MJ1,,,,
NSW1158541,IK24_1_22MJ,-33.5555,150.2782,1,IK24_1_22MJ,IK24_1_22MJ,IK24_1_22MJ,Ikara,1,IK24_1_22MJ1,,,,
NSW1156885,IK24_1_22MJ,-33.5555,150.2782,1,IK24_1_22MJ,IK24_1_22MJ,IK24_1_22MJ,Ikara,2,IK24_1_22MJ2,,,,
NSW1156940,IK24_1_22MJ,-33.5555,150.2782,1,IK24_1_22MJ,IK24_1_22MJ,IK24_1_22MJ,Ikara,2,IK24_1_22MJ2,,,,
NSW1156887,IK24_1_22MJ,-33.5555,150.2782,1,IK24_1_22MJ,IK24_1_22MJ,IK24_1_22MJ,Ikara,3,IK24_1_22MJ3,,,,
NSW1156891,NN25_1_22MJ,-33.7315,150.2841,1,NN25_1_22MJ,NN25_1_22MJ,NN25_1_22MJ,Narrow Neck,3,NN25_1_22MJ3,,,,
NSW1156930,IK24_1_22MJ,-33.5555,150.2782,1,IK24_1_22MJ,IK24_1_22MJ,IK24_1_22MJ,Ikara,3,IK24_1_22MJ3,,,,
NSW1156876,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,1,KA17_11_21MJ1,,,,
NSW1156912,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,1,KA17_11_21MJ1,,,,
NSW1156894,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,1,KA17_11_21MJ1,,,,
NSW1156924,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,1,KA17_11_21MJ1,,,,
NSW1156922,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,1,KA17_11_21MJ1,,,,
NSW1158527,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,1,KA17_11_21MJ1,,,,
NSW1156872,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,2,KA17_11_21MJ2,,,,
NSW1156866,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,2,KA17_11_21MJ2,,,,
NSW1156919,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,3,KA17_11_21MJ3,,,,
NSW1156871,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,4,KA17_11_21MJ4,,,,
NSW1156867,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,4,KA17_11_21MJ4,,,,
NSW1156877,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,5,KA17_11_21MJ5,,,,
NSW1156911,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,5,KA17_11_21MJ5,,,,
NSW1158526,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,5,KA17_11_21MJ5,,,,
NSW1158525,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,5,KA17_11_21MJ5,,,,
NSW1158524,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,5,KA17_11_21MJ5,,,,
NSW1156880,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,6,KA17_11_21MJ6,,,,
NSW1156890,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,7,KA17_11_21MJ7,,,,
NSW1156899,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,3,KA17_11_21MJ3,,,,
NSW1156939,KA17_11_21MJ,-33.9873,150.1153,1,KA17_11_21MJ,KA17_11_21MJ,KA17_11_21MJ,Kanangra,7,KA17_11_21MJ7,,,,
NSW1156881,BRW22_12_22MJ,-35.0774,150.2033,1,BRW22_12_22MJ,BRW22_12_22MJ,BRW22_12_22MJ,Braidwood Rd West,1,BRW22_12_22MJ1,,,,
NSW1156936,BRW22_12_22MJ,-35.0774,150.2033,1,BRW22_12_22MJ,BRW22_12_22MJ,BRW22_12_22MJ,Braidwood Rd West,1,BRW22_12_22MJ1,,,,
NSW1158523,BRW22_12_22MJ,-35.0774,150.2033,1,BRW22_12_22MJ,BRW22_12_22MJ,BRW22_12_22MJ,Braidwood Rd West,2,BRW22_12_22MJ2,,,,
NSW1156900,BRW22_12_22MJ,-35.0774,150.2033,1,BRW22_12_22MJ,BRW22_12_22MJ,BRW22_12_22MJ,Braidwood Rd West,3,BRW22_12_22MJ3,,,,
NSW1156929,BRW22_12_22MJ,-35.0774,150.2033,1,BRW22_12_22MJ,BRW22_12_22MJ,BRW22_12_22MJ,Braidwood Rd West,3,BRW22_12_22MJ3,,,,
NSW1156889,BRW22_12_22MJ,-35.0774,150.2033,1,BRW22_12_22MJ,BRW22_12_22MJ,BRW22_12_22MJ,Braidwood Rd West,4,BRW22_12_22MJ4,,,,
NSW1156916,BRW22_12_22MJ,-35.0774,150.2033,1,BRW22_12_22MJ,BRW22_12_22MJ,BRW22_12_22MJ,Braidwood Rd West,4,BRW22_12_22MJ4,,,,
NSW1156874,BRE22_12_22MJ,-35.0893,150.1431,1,BRE22_12_22MJ,BRE22_12_22MJ,BRE22_12_22MJ,Braidwood Rd East,3,BRE22_12_22MJ3,,,,
NSW1156944,BRE22_12_22MJ,-35.0893,150.1431,1,BRE22_12_22MJ,BRE22_12_22MJ,BRE22_12_22MJ,Braidwood Rd East,3,BRE22_12_22MJ3,,,,
NSW1156869,BRE22_12_22MJ,-35.0893,150.1431,1,BRE22_12_22MJ,BRE22_12_22MJ,BRE22_12_22MJ,Braidwood Rd East,4,BRE22_12_22MJ4,,,,
NSW1156865,BRE22_12_22MJ,-35.0893,150.1431,1,BRE22_12_22MJ,BRE22_12_22MJ,BRE22_12_22MJ,Braidwood Rd East,4,BRE22_12_22MJ4,,,,
NSW1156882,BRE22_12_22MJ,-35.0893,150.1431,1,BRE22_12_22MJ,BRE22_12_22MJ,BRE22_12_22MJ,Braidwood Rd East,5,BRE22_12_22MJ5,,,,
NSW1156917,BRE22_12_22MJ,-35.0893,150.1431,1,BRE22_12_22MJ,BRE22_12_22MJ,BRE22_12_22MJ,Braidwood Rd East,5,BRE22_12_22MJ5,,,,
NSW1158539,BRE22_12_22MJ,-35.0893,150.1431,1,BRE22_12_22MJ,BRE22_12_22MJ,BRE22_12_22MJ,Braidwood Rd East,2,BRE22_12_22MJ2,,,,
NSW1156901,NN31_3_21GT,-33.7315,150.2841,1,NN31_3_21GT,NN31_3_21GT,NN31_3_21GT,Narrow Neck,1,NN31_3_21GT1,,,,
NSW1156892,NN11_2_21L,-33.7343,150.2823,1,NN11_2_21L,NN11_2_21L,,Narrow Neck,1,NN11_2_21L1,yes,,,
NSW1156914,NN11_2_21L,-33.7343,150.2823,1,NN11_2_21L,NN11_2_21L,,Narrow Neck,1,NN11_2_21L1,yes,,,
NSW1156910,NN11_2_21L,-33.7343,150.2823,1,NN11_2_21L,NN11_2_21L,,Narrow Neck,1,NN11_2_21L1,yes,,,
NSW1156904,NN11_2_21L,-33.7343,150.2823,1,NN11_2_21L,NN11_2_21L,,Narrow Neck,1,NN11_2_21L1,yes,,,
NSW1156927,NN11_2_21L,-33.7343,150.2823,1,NN11_2_21L,NN11_2_21L,,Narrow Neck,1,NN11_2_21L1,yes,,,
NSW1158519,NN11_2_21L,-33.7343,150.2823,1,NN11_2_21L,NN11_2_21L,,Narrow Neck,1,NN11_2_21L1,yes,,,
NSW1156879,BU2_3_21L,-34.6843,150.2962,1,BU2_3_21L,BU2_3_21L,,Bundanoon,1,BU2_3_21L1,yes,,,
NSW1156906,BU2_3_21L,-34.6843,150.2962,1,BU2_3_21L,BU2_3_21L,,Bundanoon,1,BU2_3_21L1,yes,,,
NSW1156902,BU2_3_21L,-34.6843,150.2962,1,BU2_3_21L,BU2_3_21L,,Bundanoon,1,BU2_3_21L1,yes,,,
NSW1156895,BU2_3_21L,-34.6843,150.2962,1,BU2_3_21L,BU2_3_21L,,Bundanoon,1,BU2_3_21L1,yes,,,
NSW1156896,S2_3_21L,-35.0732,150.1983,1,S2_3_21L,S2_3_21L,,Sassafrass,1,S2_3_21L1,yes,,,
NSW1156909,S2_3_21L,-35.0732,150.1983,1,S2_3_21L,S2_3_21L,,Sassafrass,1,S2_3_21L1,yes,,,
NSW1156907,S2_3_21L,-35.0732,150.1983,1,S2_3_21L,S2_3_21L,,Sassafrass,1,S2_3_21L1,yes,,,
NSW1156864,S2_3_21L,-35.0732,150.1983,1,S2_3_21L,S2_3_21L,,Sassafrass,1,S2_3_21L1,yes,,,
NSW1156926,S2_3_21L,-35.0732,150.1983,1,S2_3_21L,S2_3_21L,,Sassafrass,1,S2_3_21L1,yes,,,
NSW1158518,S2_3_21L,-35.0732,150.1983,1,S2_3_21L,S2_3_21L,,Sassafrass,1,S2_3_21L1,yes,,,
NSW1158540,S2_3_21L,-35.0732,150.1983,1,S2_3_21L,S2_3_21L,,Sassafrass,1,S2_3_21L1,yes,,,
NSW1156897,L10_3_21L,-33.4442,150.1799,1,L10_3_21L,L10_3_21L,,Lithgow,1,L10_3_21L1,yes,,,
NSW1156905,L10_3_21L,-33.4442,150.1799,1,L10_3_21L,L10_3_21L,,Lithgow,1,L10_3_21L1,yes,,,
NSW1156942,L10_3_21L,-33.4442,150.1799,1,L10_3_21L,L10_3_21L,,Lithgow,1,L10_3_21L1,yes,,,
NSW1156937,L10_3_21L,-33.4442,150.1799,1,L10_3_21L,L10_3_21L,,Lithgow,1,L10_3_21L1,yes,,,
NSW1156925,L10_3_21L,-33.4442,150.1799,1,L10_3_21L,L10_3_21L,,Lithgow,1,L10_3_21L1,yes,,,
NSW1156941,L10_3_21L,-33.4442,150.1799,1,L10_3_21L,L10_3_21L,,Lithgow,1,L10_3_21L1,yes,,,
NSW1166678,Minor WogWog,-33.4442,150.1799,1,,,,,,,,,,
NSW1158530,spike NSW1156886,-33.4442,150.1799,1,,,,,,,,,,
NSW1158778,Bungleboori Creek.,-34.2881,150.3406,1,,,,,,,,,,
NSW1158775,Narrow Neck,-33.75,150.27,1,,,,,,,,,,
NSW1158793,"Sassafras, Boolijah Creek.",-35.1167,150.3008,1,,,,,,,,,,
NSW1158781,Pigeon House Range.,-35.35,150.27,1,,,,,,,,,,
NSW1158794,Katoomba,-33.72,150.32,1,,,,,,,,,,
NSW1158776,Mount Hay,-33.67,150.35,1,,,,,,,,,,
NSW1158794,"Middle Caves, Northern Budawang.",-35.3468,150.1039,1,,,,,,,,,,
NSW1158790,Hargraves Lookout,-33.6761,150.2425,1,,,,,,,,,,
NSW1158774,Hargraves Lookout,-33.6792,150.2417,1,,,,,,,,,,
NSW1158779,Tianjara Falls,-35.1139,150.3111,1,,,,,,,,,,
NSW1158787,Narrow Neck,-33.7271,150.2908,1,,,,,,,,,,
NSW1158788,Narrow Neck,-33.7271,150.2908,1,,,,,,,,,,
NSW1158784,Narrow Neck,-33.7271,150.2908,1,,,,,,,,,,
NSW1158782,Narrow Neck,-33.7271,150.2908,1,,,,,,,,,,
NSW1156928,Narrow Neck,-33.7327,150.2841,1,,,,,,,P1,,,BRW?
NSW1156868,Narrow Neck,-33.7327,150.2841,1,BGNN,Narrow Neck,,Narrow Neck,,BGNN,BGNN,,,
NSW1156918,Narrow Neck,-33.7327,150.2841,1,,,,,,,P1,,,L or NN?
NSW1156938,Narrow Neck,-33.7327,150.2841,1,BGNN,Narrow Neck,,Narrow Neck,,BGNN,BGNN,,,compact growth
NSW1156913,Narrow Neck,-33.7327,150.2841,1,,,,,,,P1,,,L or NN?
NSW1156923,Narrow Neck,-33.7327,150.2841,1,,,,,,,P1,,,BRW?
NSW1156933,Narrow Neck,-33.7327,150.2841,1,,,,,,,P1,,,BRW?
NSW1156893,Narrow Neck,-33.7327,150.2841,1,BGNN,,,Narrow Neck,,,BGNN,,,
NSW1156943,Narrow Neck,-33.7327,150.2841,1,BGNN,Narrow Neck,,Narrow Neck,,BGNN,BGNN,,,compact growth
NSW1156898,Narrow Neck,-33.7327,150.2841,1,BGNN,,,Narrow Neck,,,BGNN,,,flowers on flowers
NSW1156908,Narrow Neck,-33.7327,150.2841,1,BGNN,,,Narrow Neck,,,BGNN,,,flowers on flowers
NSW1156903,NSW1156873,-33.7327,150.2841,1,BGNN,,,Narrow Neck,,,BGNN,,,flowers on flowers
NSW1156883,Narrow Neck,-33.7327,150.2841,1,BGNN,Narrow Neck,,Narrow Neck,,BGNN,BGNN,,,
NSW1156873,Narrow Neck,-33.7327,150.2841,1,BGNN,,,Narrow Neck,,,BGNN,,,
NSW1156878,Narrow Neck,-33.7327,150.2841,1,BGNN,,,Narrow Neck,,,BGNN,,,
NSW1156863,Narrow Neck,-33.7327,150.2841,1,BGNN,,,Narrow Neck,,,BGNN,,,
NSW1156888,Narrow Neck,-33.7327,150.2841,1,BGNN,,,Narrow Neck,,,BGNN,,,
NSW812943,Maroota (minor),-33.4221,150.99316,1,,,,,,,,,,
NSW1166680,Alpine NP Vic,-37.05833,148.0611,1,,Alpine NP Vic,,Alpine NP Vic,,,,,,check lat/long
NSW1016537,Evans Lookout(minor),-33.64788,150.31958,1,,,,,,,,,,
NSW812841,Terry Hills (minor),-33.67367,151.20856,1,,,,,,,,,,
NSW814075,Ku-ring-gai Chase (minor),-33.58846,151.28337,1,,,,,,,,,,
NSW1166681,Alpine NP Vic,-37.05833,148.0611,1,,Alpine NP Vic,,Alpine NP Vic,,,,,,
NSW814224,Mount Colah (minor),-33.67424,151.1358,1,,,,,,,,,,
NSW1166679,Alpine NP Vic,-37.0569,148.0588,1,,Alpine NP Vic,,Alpine NP Vic,,,,,,
